,produto,preco,preco_antigo,descricao_produto,parcelas_sem_juros,frete_gratis,diferenca,desconto_porcento,media_desconto,mediana
0,LG K62+ Dual SIM 128 GB white 4 GB RAM,1299,2099,"OFERTA DO DIA
R$ 2.099
R$ 1.299
38% OFF
10x R$ 12990 sem juros
Frete grátis
LG K62+ Dual SIM 128 GB white 4 GB RAM
por Mercado Livre",10,SIM,800,38.11,80.78,20.0
1,Pneu Goodyear Kelly Edge Touring P 175/70R13 82 T,314,349,"OFERTA DO DIA
R$ 349
R$ 31410
10% OFF
10x R$ 3141 sem juros
Pneu Goodyear Kelly Edge Touring P 175/70R13 82 T
por Achei Pneus",10,NÃO,35,10.03,80.78,20.0
2,Kit 2 Refletor Led 100w Holofote Bivolt Prova Dágua Luz Frio,105,119,"OFERTA DO DIA
R$ 119
R$ 10514
12% OFF
Frete grátis
Kit 2 Refletor Led 100w Holofote Bivolt Prova Dágua Luz Frio",0,SIM,14,11.76,80.78,20.0
3,iPhone 7 128 Gb Vitrine Rose Desbloqueado Em 12x Sem Juros,1424,1499,"OFERTA DO DIA
R$ 1.499
R$ 1.424
5% OFF
10x R$ 14241 sem juros
Frete grátis
iPhone 7 128 Gb Vitrine Rose Desbloqueado Em 12x Sem Juros",10,SIM,75,5.0,80.78,20.0
4,Fritadeira Elétrica Multilaser Air Fryer 4 Litros 1500w 110v,389,499,"OFERTA DO DIA
R$ 499
R$ 38990
22% OFF
10x R$ 3899 sem juros
Frete grátis
Fritadeira Elétrica Multilaser Air Fryer 4 Litros 1500w 110v
por 123 Comprou",10,SIM,110,22.04,80.78,20.0
5,"Nintendo Switch 32GB Standard cor vermelho-néon, azul-néon e preto",2294,2549,"OFERTA DO DIA
R$ 2.549
R$ 2.294
10% OFF
Frete grátis
Nintendo Switch 32GB Standard cor vermelho-néon, azul-néon e preto
por 25Best",0,SIM,255,10.0,80.78,20.0
6,Fechadura Eletrônica Touch Digital Com Senha Fr101 Intelbras,389,419,"OFERTA DO DIA
R$ 419
R$ 38967
7% OFF
10x R$ 3897 sem juros
Frete grátis
Fechadura Eletrônica Touch Digital Com Senha Fr101 Intelbras
por 2Eletro",10,SIM,30,7.16,80.78,20.0
8,"Tablet Samsung Galaxy Tab S7 FE SM-T736B 12.4"" 128GB mystic silver 6GB de memória RAM",3599,4999,"OFERTA DO DIA
R$ 4.999
R$ 3.599
28% OFF
12x R$ 29992 sem juros
Frete grátis
Tablet Samsung Galaxy Tab S7 FE SM-T736B 12.4"" 128GB mystic silver 6GB de memória RAM
por Mercado Livre",12,SIM,1400,28.01,80.78,20.0
9,Kit 200 Máscara Caixa Descartável Tripla C/ Filtro Meltblown,49,58,"R$ 58
R$ 4980
15% OFF
Kit 200 Máscara Caixa Descartável Tripla C/ Filtro Meltblown",0,NÃO,9,15.52,80.78,20.0
10,Samsung Galaxy A12 Dual SIM 64 GB branco 4 GB RAM,998,1064,"R$ 1.064
R$ 998
6% OFF
10x R$ 9980 sem juros
Frete grátis
Samsung Galaxy A12 Dual SIM 64 GB branco 4 GB RAM
por Mobcom",10,SIM,66,6.2,80.78,20.0
